Genre,PS,XBOX,PC,Nintendo,Other,Total
Action,71.1,16.27,0,0,0,87.37
Fighting,0,0,0,12.84,0,12.84
Misc,0,21.81,0,49.07,0,70.88
Platform,0,0,0,58.12,0,58.12
Puzzle,0,0,0,15.29,0,15.29
Racing,14.98,0,0,58.73,0,73.71
Shooter,27.11,56.48,0,0,0,83.59
Sports,0,0,0,159.79,0,159.79
