ID,Name,Platform,Platform_Group,Publisher,Genre,Year_of_Release,NA_players,EU_players,JP_players,Other_players,Num_Nodes,Global_players,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
1900,Dante's Inferno,PS3,,Electronic Arts,Action,2010,0.64,0.28,0.04,0.13,,1.08,75,69,7.5,265,Visceral Games,M
1901,Toy Story 3: The Video Game,PS3,,Disney Interactive Studios,Action,2010,0.51,0.4,0,0.16,,1.08,,,,,,
1902,Joust,2600,,Atari,Platform,1982,1.01,0.06,0,0.01,,1.08,,,,,,
1903,Tom Clancy's Ghost Recon 2,PS2,,Ubisoft,Shooter,2004,0.64,0.34,0,0.1,,1.08,58,21,6,19,Ubisoft Shanghai/Paris,T
1904,Final Fantasy XIV: A Realm Reborn,PS3,,Square Enix,Role-Playing,2013,0.37,0.3,0.28,0.13,,1.08,,,,,,
1905,Forza Horizon 3,XOne,,Microsoft Game Studios,Racing,2016,0.42,0.58,0,0.08,,1.08,91,90,7.4,594,Playground Games,E
1906,Disney Infinity 2.0: Marvel Super Heroes,X360,,Disney Interactive Studios,Action,2014,0.64,0.34,0,0.1,,1.08,,,,,,
1907,Ready 2 Rumble Boxing,PS,,Midway Games,Sports,1998,0.6,0.41,0,0.07,,1.08,,,,,,
1908,Star Wars: The Force Unleashed,PSP,,LucasArts,Action,2008,0.43,0.4,0,0.24,,1.08,70,10,8.1,49,Krome Studios,T
1909,Dragon Ball Z: Taiketsu,GBA,,Atari,Fighting,2003,0.77,0.29,0,0.02,,1.08,40,23,6.1,22,Webfoot Technologies,T
1910,Disney's Lilo & Stitch,GBA,,Ubisoft,Platform,2002,0.77,0.29,0,0.02,,1.08,,,,,,
1911,Star Fox: Assault,GC,,Nintendo,Shooter,2005,0.68,0.18,0.19,0.03,,1.08,67,59,8.1,106,Namco,T
1912,Plants vs. Zombies: Garden Warfare,X360,,Electronic Arts,Shooter,2014,0.51,0.47,0,0.09,,1.08,69,6,7.3,121,PopCap,E10+
1913,The Simpsons Game,PSP,,Electronic Arts,Action,2007,0.24,0.54,0,0.3,,1.07,59,7,6.7,15,"Electronic Arts, Rebellion",T
1914,Doko Demo Issyo,PS,,Sony Computer Entertainment,Misc,1999,0,0,1,0.07,,1.07,,,,,,
1915,LEGO Star Wars II: The Original Trilogy,DS,,LucasArts,Action,2006,0.96,0.03,0,0.08,,1.07,47,9,5,38,Amaze Entertainment,E
1916,Call of Duty 3,PS2,,Activision,Shooter,2006,0.89,0.03,0,0.15,,1.07,82,14,7.4,83,Treyarch,T
1917,FIFA Soccer 11,Wii,,Electronic Arts,Sports,2010,0.26,0.69,0,0.12,,1.07,73,17,7.3,8,EA Sports,E
1918,Imagine: Fashion Designer New York,DS,,Ubisoft,Simulation,2008,0.65,0.32,0,0.1,,1.07,,,,,"Lexis Numerique, Virtual Toys",E
1919,Prince of Persia,PS3,,Ubisoft,Action,2008,0.47,0.4,0.03,0.17,,1.07,85,59,7.3,245,Ubisoft Montreal,T
1920,Championship Manager 99/00,PC,,Eidos Interactive,Sports,1999,0,0.98,0,0.09,,1.07,,,,,,
1921,Virtua Fighter,SAT,,Sega,Fighting,1994,0.17,0.12,0.77,0.02,,1.07,,,,,,
1922,WWE SmackDown vs. Raw 2010,PS2,,THQ,Fighting,2009,0.53,0.01,0,0.54,,1.07,,,7.7,31,Yuke's,T
1923,The Biggest Loser,Wii,,THQ,Sports,2009,0.86,0.12,0,0.09,,1.07,,,,,,
1924,Marvel vs. Capcom 3: Fate of Two Worlds,X360,,Capcom,Fighting,2011,0.79,0.18,0.03,0.07,,1.07,,,,,,
1925,Tomb Raider: Underworld,X360,,Eidos Interactive,Action,2008,0.53,0.42,0.01,0.11,,1.07,76,57,6.6,198,Crystal Dynamics,T
1926,NHL 99,PS,,Electronic Arts,Sports,1997,0.59,0.4,0,0.07,,1.07,,,,,,
1927,Pro Evolution Soccer 2008,X360,,Konami Digital Entertainment,Sports,2007,0.08,0.9,0.04,0.05,,1.07,76,29,7.8,36,Konami,E
1928,SoulCalibur III,PS2,,Namco Bandai Games,Fighting,2005,0.74,0.15,0.13,0.05,,1.07,86,57,8.4,96,Namco,T
1929,Tiger Woods PGA Tour 10,Wii,,Electronic Arts,Sports,2009,0.6,0.36,0,0.11,,1.07,88,44,8.8,57,EA Tiburon,E
1930,MySims Agents,DS,,Electronic Arts,Adventure,2009,0.54,0.42,0,0.11,,1.07,60,5,,,TOSE,E
1931,Ridge Racer Revolution,PS,,Sony Computer Entertainment,Racing,1995,0.17,0.12,0.71,0.07,,1.07,,,,,,
1932,World Tour Soccer,PSP,,Sony Computer Entertainment,Sports,2005,0.1,0.63,0,0.34,,1.07,70,31,5.6,5,SCEE,E
1933,Naruto: Ultimate Ninja Storm,PS3,,Namco Bandai Games,Fighting,2008,0.49,0.34,0.09,0.15,,1.07,75,32,8.6,95,CyberConnect2,T
1934,Red Dead Redemption: Undead Nightmare,X360,,Take-Two Interactive,Action,2010,0.57,0.38,0.02,0.1,,1.07,,,7.6,18,Rockstar San Diego,M
1935,Lightning Returns: Final Fantasy XIII,PS3,,Square Enix,Role-Playing,2013,0.31,0.2,0.45,0.11,,1.07,66,62,5.9,552,Square Enix,T
1936,Hot Wheels Turbo Racing,PS,,Electronic Arts,Racing,1999,0.59,0.4,0,0.07,,1.07,,,,,,
1937,NCAA Football 99,PS,,Electronic Arts,Sports,1998,0.59,0.4,0,0.07,,1.06,,,,,,
1938,Mortal Kombat: Armageddon,PS2,,Midway Games,Fighting,2006,0.88,0.04,0,0.14,,1.06,75,43,8.5,84,Midway,M
1939,Freekstyle,PS2,,Electronic Arts,Racing,2002,0.52,0.41,0,0.14,,1.06,81,25,7.3,14,Page 44 Studios,E
1940,Grand Theft Auto: Chinatown Wars,PSP,,Take-Two Interactive,Action,2009,0.28,0.49,0.03,0.27,,1.06,90,77,7.3,146,Rockstar Leeds,M
1941,Spore Creatures,DS,,Electronic Arts,Simulation,2008,0.66,0.3,0,0.1,,1.06,65,20,6.5,21,Griptonite Games,E
1942,The Orange Box,PS3,,Electronic Arts,Shooter,2007,0.28,0.58,0,0.21,,1.06,89,21,8.4,188,EA Games,M
1943,Simple 1500 Series Vol. 1: The Mahjong,PS,,D3Publisher,Misc,1998,0,0,0.99,0.07,,1.06,,,,,,
1944,DJ Hero,X360,,Activision,Misc,2009,0.56,0.39,0,0.11,,1.06,84,72,8,42,FreeStyleGames,T
1945,Bully: Scholarship Edition,X360,,Take-Two Interactive,Action,2008,0.53,0.4,0.03,0.11,,1.06,80,56,8.3,154,"Mad Doc Software, Rockstar Vancouver",T
1946,NBA Street V3,PS2,,Electronic Arts,Sports,2005,0.52,0.41,0,0.14,,1.06,89,36,8.7,37,EA Canada,E
1947,Worms Armageddon,PS,,Microprose,Strategy,1999,0.18,0.81,0,0.08,,1.06,,,,,,
1948,Hulk,PS2,,Universal Interactive,Action,2003,0.52,0.41,0,0.14,,1.06,71,28,8.3,22,Radical Entertainment,T
1949,Overwatch,XOne,,Activision,Shooter,2016,0.63,0.33,0,0.1,,1.06,91,18,5.6,668,Blizzard Entertainment,T
1950,NFL Quarterback Club 98,N64,,Acclaim Entertainment,Sports,1997,1.01,0.05,0,0.01,,1.06,,,,,,
1951,NFL Blitz,N64,,Midway Games,Sports,1998,1.02,0.04,0,0.01,,1.06,,,,,,
1952,Aliens vs Predator,X360,,Sega,Shooter,2010,0.55,0.4,0,0.11,,1.06,64,64,7.3,247,Rebellion,M
1953,Skylanders Giants,PS3,,Activision,Action,2012,0.36,0.49,0,0.2,,1.06,77,21,6.3,18,Toys for Bob,E10+
1954,Diablo II: Lord of Destruction,PC,,Vivendi Games,Role-Playing,2001,1.03,0.02,0,0,,1.06,87,21,9.1,639,Blizzard North,M
1955,Endless Ocean,Wii,,Nintendo,Adventure,2007,0.43,0.46,0.09,0.09,,1.06,72,42,8.1,61,Arika,E
1956,Spider-Man 2,GBA,,Activision,Action,2004,0.76,0.28,0,0.02,,1.06,65,12,7.7,6,Digital Eclipse,E
1957,Seek and Destroy,PS2,,Play It,Racing,2002,0.52,0.4,0,0.14,,1.06,63,9,8.8,10,Barnhouse Effect,T
1958,Darksiders,X360,,THQ,Action,2010,0.67,0.28,0.01,0.1,,1.06,83,81,7.9,292,Vigil Games,M
1959,Mercenaries 2: World in Flames,X360,,Electronic Arts,Shooter,2008,0.65,0.3,0.01,0.1,,1.06,72,69,7.2,152,Pandemic Studios,T
1960,LEGO Marvel Super Heroes,XOne,,Warner Bros. Interactive Entertainment,Action,2013,0.61,0.35,0,0.09,,1.06,,,6.8,73,TT Games,E10+
1961,Warhawk,PS3,,Sony Computer Entertainment,Simulation,2007,0.49,0.39,0,0.17,,1.06,84,50,8.4,183,Incognito Inc.,T
1962,DiRT 3,PS3,,Codemasters,Racing,2011,0.27,0.57,0.01,0.2,,1.06,87,52,7.1,122,Codemasters,T
1963,Sega Superstars Tennis,Wii,,Sega,Sports,2008,0.28,0.65,0,0.13,,1.05,71,24,7,16,Sumo Digital,E10+
1964,DiRT,PS3,,Codemasters,Racing,2007,0.16,0.66,0,0.23,,1.05,83,32,8,32,Codemasters,E
1965,Call of Duty 4: Modern Warfare,DS,,Activision,Shooter,2007,0.95,0.01,0.01,0.08,,1.05,75,22,6.9,36,n-Space,T
1966,Cosmic Ark,2600,,Imagic,Shooter,1981,0.99,0.05,0,0.01,,1.05,,,,,,
1967,Resident Evil: The Darkside Chronicles,Wii,,Capcom,Action,2009,0.46,0.31,0.2,0.09,,1.05,75,55,8,60,Cavia Inc.,M
1968,SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,,Sony Computer Entertainment,Shooter,2006,0.81,0.11,0,0.13,,1.05,81,31,9,36,Zipper Interactive,T
1969,Defender,2600,,Atari,Misc,1980,0.99,0.05,0,0.01,,1.05,,,,,,
1970,Dora the Explorer: Dora Saves the Mermaids,DS,,Take-Two Interactive,Platform,2007,0.97,0.01,0,0.07,,1.05,44,5,,,Black Lantern Studios,E
1971,Arc the Lad II,PS,,Sony Computer Entertainment,Role-Playing,1996,0,0,0.92,0.13,,1.05,,,,,,
1972,Tag Team Match M.U.S.C.L.E.,NES,,Namco Bandai Games,Fighting,1985,0,0,1.05,0,,1.05,,,,,,
1973,Derby Stallion 96,SNES,,ASCII Entertainment,Sports,1996,0,0,1.04,0.01,,1.05,,,,,,
1974,Adventure Island,NES,,Hudson Soft,Platform,1986,0,0,1.05,0,,1.05,,,,,,
1975,NBA 2K3,PS2,,Sega,Sports,2002,0.51,0.4,0,0.13,,1.05,89,21,8,22,Visual Concepts,E
1976,LEGO The Lord of the Rings,PS3,,Warner Bros. Interactive Entertainment,Action,2012,0.37,0.49,0,0.19,,1.05,82,16,8.3,85,TT Games,E10+
1977,The Simpsons: Road Rage,XB,,Electronic Arts,Racing,2001,0.78,0.26,0,0.01,,1.05,61,17,8.3,6,Fox Interactive,T
1978,Dave Mirra Freestyle BMX,PS,,Acclaim Entertainment,Sports,2000,0.91,0.11,0,0.03,,1.05,82,14,8.4,5,"Z-Axis, Ltd.",E
1979,EA Sports UFC,PS4,,Electronic Arts,Sports,2014,0.46,0.41,0.01,0.17,,1.05,70,57,6.1,279,EA Sports,T
1980,Forza Motorsport,XB,,Microsoft Game Studios,Racing,2005,0.52,0.51,0,0.02,,1.05,92,73,7.6,213,Microsoft Game Studios,E
1981,Virtua Tennis 3,PS3,,Sega,Sports,2007,0.23,0.58,0.03,0.21,,1.05,80,35,7.9,32,Sega AM3,E
1982,Monster Rancher 2,PS,,Sony Computer Entertainment,Simulation,1998,0.19,0.13,0.66,0.07,,1.05,83,6,,,Tecmo,E
1983,MVP Baseball 2003,PS2,,Electronic Arts,Sports,2003,0.51,0.4,0,0.13,,1.04,81,22,8.9,17,EA Sports,E
1984,Imagine: Animal Doctor,DS,,Ubisoft,Simulation,2007,0.45,0.48,0,0.11,,1.04,,,7.4,5,Virtual Toys,E
1985,Legacy of Kain: Soul Reaver,PS,,Eidos Interactive,Action,N/A,0.58,0.4,0,0.07,,1.04,91,17,9,132,Crystal Dynamics,T
1986,WWE SmackDown vs. Raw 2010,X360,,THQ,Fighting,2009,0.56,0.37,0.01,0.1,,1.04,80,59,8.4,36,Yuke's,T
1987,Tales of Destiny,PS,,Namco Bandai Games,Role-Playing,1997,0.09,0.06,0.83,0.07,,1.04,,,,,,
1988,Sleeping Dogs,PS3,,Square Enix,Action,2012,0.31,0.49,0.05,0.19,,1.04,83,40,7.7,645,United Front Games,M
1989,ATV: Quad Power Racing,PS,,Acclaim Entertainment,Racing,2000,0.58,0.39,0,0.07,,1.04,42,9,,,Climax Group,E
1990,Mega Man X4,PS,,Virgin Interactive,Action,1996,0.45,0.3,0.22,0.07,,1.04,,,,,,
1991,Naruto: Clash of Ninja 2,GC,,Nintendo,Fighting,2003,0.44,0.12,0.45,0.03,,1.04,74,22,8.9,39,8ing/Raizing,T
1992,Dance Dance Revolution SuperNOVA,PS2,,Konami Digital Entertainment,Simulation,2006,0.87,0.03,0,0.14,,1.04,73,25,8.7,6,Konami,E10+
1993,Aliens vs Predator,PS3,,Sega,Shooter,2010,0.41,0.46,0,0.18,,1.04,65,57,7.3,168,Rebellion,M
1994,Bomberman 64,N64,,Hudson Soft,Puzzle,1997,0.5,0.2,0.31,0.03,,1.04,,,,,,
1995,Jeremy McGrath Supercross 98,PS,,Acclaim Entertainment,Racing,1998,0.91,0.1,0,0.03,,1.04,,,,,,
1996,F-Zero: Maximum Velocity,GBA,,Nintendo,Racing,2001,0.39,0.16,0.37,0.12,,1.04,86,19,8.5,22,Nd Cube,E
1997,Sonic the Hedgehog,X360,,Sega,Platform,2006,0.44,0.48,0,0.11,,1.04,46,38,4.4,455,Sega,E10+
1998,Sonic & Sega All-Stars Racing,DS,,Sega,Racing,2010,0.43,0.5,0,0.11,,1.04,,,,,,
1999,Need for Speed: Most Wanted,XB,,Electronic Arts,Racing,2005,0.53,0.46,0,0.05,,1.04,83,32,8.8,29,EA Canada,T
2000,The Simpsons Game,X360,,Electronic Arts,Action,2007,0.54,0.39,0,0.11,,1.03,71,52,7.7,71,"Electronic Arts, EA Redwood Shores",T
2001,F1 2012,PS3,,Codemasters,Racing,2012,0.12,0.63,0.05,0.23,,1.03,81,23,7.5,54,Codemasters,E
2002,Brink,X360,,Bethesda Softworks,Shooter,2011,0.59,0.35,0.01,0.09,,1.03,68,85,5.8,404,Splash Damage,T
2003,MX vs. ATV Unleashed,PS2,,THQ,Racing,2005,0.86,0.03,0,0.14,,1.03,79,30,8.4,17,Rainbow Studios,E
2004,WipEout Pure,PSP,,Sony Computer Entertainment,Racing,2005,0.47,0.34,0,0.23,,1.03,88,56,7.9,102,Studio Liverpool,E
2005,UFC Undisputed 3,PS3,,THQ,Action,2012,0.55,0.32,0.03,0.13,,1.03,86,30,7.4,92,Yuke's,T
2006,LEGO Pirates of the Caribbean: The Video Game,X360,,Disney Interactive Studios,Action,2011,0.54,0.39,0,0.09,,1.03,73,54,7,31,Traveller's Tales,E10+
2007,Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,,Ubisoft,Shooter,2007,0.34,0.48,0.02,0.19,,1.03,84,29,8.1,41,"Red Storm Entertainment, Ubisoft Paris",T
2008,Super Princess Peach,DS,,Nintendo,Platform,2005,0.7,0.05,0.21,0.07,,1.03,75,48,7.6,33,TOSE,E
2009,Guinness World Records: The Videogame,Wii,,Warner Bros. Interactive Entertainment,Action,2008,0.46,0.47,0,0.11,,1.03,67,12,7,8,TT Fusion,E10+
2010,NCAA March Madness 2004,PS2,,Electronic Arts,Sports,2003,0.5,0.39,0,0.13,,1.03,82,16,8.8,12,NuFX,E
2011,Donkey Kong Land III,GB,,Nintendo,Platform,N/A,0.68,0.31,0,0.04,,1.03,,,,,,
2012,Bomberman,NES,,Hudson Soft,Puzzle,1985,0.18,0,0.85,0,,1.03,,,,,,
2013,The Legend of Zelda: Twilight Princess HD,WiiU,,Nintendo,Action,2016,0.56,0.3,0.08,0.09,,1.03,86,74,8.4,329,"Tantalus Interactive, Tantatus, Nintendo",T
2014,LEGO Indiana Jones: The Original Adventures,PS3,,Activision,Action,2008,0.44,0.42,0,0.17,,1.03,77,36,7.7,30,Traveller's Tales,E10+
2015,Tomb Raider,PC,,Eidos Interactive,Action,1996,0.96,0.07,0,0,,1.03,86,18,8.5,3552,"Crystal Dynamics, Nixxes Software",M
2016,Street Fighter Alpha 3,PS,,Virgin Interactive,Fighting,1998,0.38,0.12,0.51,0.02,,1.03,93,12,8.5,46,Capcom,T
2017,MySims Agents,Wii,,Electronic Arts,Adventure,2009,0.61,0.32,0,0.1,,1.03,78,28,8.6,28,Electronic Arts,E
2018,Junior Brain Trainer,DS,,GSP,Misc,2008,0.23,0.71,0,0.09,,1.03,,,,,Avanquest Software,E
2019,MotorStorm: Arctic Edge,PSP,,Sony Computer Entertainment,Racing,2009,0.16,0.57,0,0.29,,1.02,79,58,8.8,39,Bigbig Studios,T
2020,FIFA Soccer 08,Wii,,Electronic Arts,Sports,2007,0.32,0.59,0.01,0.11,,1.02,65,13,6.1,26,EA Canada,E
2021,ZhuZhu Pets,DS,,Activision,Simulation,2010,0.67,0.26,0,0.09,,1.02,,,,,Black Lantern Studios,E
2022,Tiger Woods PGA Tour 08,Wii,,Electronic Arts,Sports,2007,0.93,0.01,0,0.08,,1.02,72,24,7,22,EA Salt Lake,E
2023,Dragon Ball Z: Budokai Tenkaichi 3,Wii,,Atari,Fighting,2007,0.32,0.36,0.26,0.09,,1.02,72,27,8.4,61,"Spike, Namco Bandai Games",T
2024,Shrek 2,GC,,Activision,Platform,2004,0.73,0.26,0.01,0.03,,1.02,70,25,6.4,14,"Luxoflux, Inc.",E
2025,NBA 2K17,XOne,,Take-Two Interactive,Sports,2016,0.86,0.06,0,0.11,,1.02,90,17,6.2,91,Visual Concepts,E
2026,Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,,Ubisoft,Shooter,2007,0.87,0.05,0.02,0.08,,1.02,86,58,8.1,89,"Red Storm Entertainment, Ubisoft Paris",T
2027,Sonic Unleashed,PS3,,Sega,Platform,2008,0.56,0.32,0.01,0.14,,1.02,54,24,7.9,130,Sonic Team,E10+
2028,Final Fight 2,SNES,,Capcom,Action,1993,0.39,0.12,0.49,0.02,,1.02,,,,,,
2029,The Lost World: Jurassic Park,PS,,Electronic Arts,Action,1997,0.57,0.39,0,0.07,,1.02,,,,,,
2030,Disney Universe,Wii,,Disney Interactive Studios,Action,2011,0.64,0.28,0,0.1,,1.02,61,11,6,5,Eurocom Entertainment Software,E10+
2031,Dance on Broadway,Wii,,Ubisoft,Misc,2010,0.25,0.65,0,0.12,,1.02,48,6,3.3,4,Longtail Studios,E10+
2032,LEGO Indiana Jones 2: The Adventure Continues,X360,,Activision,Action,2009,0.62,0.31,0,0.09,,1.02,71,41,7.4,25,Traveller's Tales,E10+
2033,Petz: Catz 2,DS,,Ubisoft,Simulation,2007,0.51,0.4,0,0.11,,1.02,,,9,4,Powerhead Games,E
2034,Bulletstorm,X360,,Electronic Arts,Shooter,2011,0.61,0.32,0.01,0.08,,1.02,84,83,7.6,439,"Epic Games, People Can Fly",M
2035,Skylanders SWAP Force,PS3,,Activision,Platform,2013,0.43,0.42,0,0.17,,1.02,83,31,5.3,33,Vicarious Visions,E10+
2036,Madden NFL 07,XB,,Electronic Arts,Sports,2006,0.97,0.03,0,0.03,,1.02,83,27,8.7,6,EA Tiburon,E
2037,Sonic Generations,3DS,,Sega,Platform,2011,0.44,0.47,0.01,0.09,,1.02,66,29,6.9,108,"Sega, Dimps Corporation",E
2038,Rock Band 2,Wii,,MTV Games,Misc,2008,0.93,0.01,0,0.08,,1.02,92,10,7.7,45,Harmonix Music Systems,T
2039,Harry Potter and the Prisoner of Azkaban,PS2,,Electronic Arts,Action,2004,0.5,0.39,0,0.13,,1.02,70,29,8.7,29,EA Games,E
2040,Pokemon Conquest,DS,,Nintendo,Role-Playing,2012,0.56,0.05,0.37,0.04,,1.02,80,40,8.2,89,Koei,E
2041,Wall-E,Wii,,THQ,Platform,2008,0.51,0.4,0,0.11,,1.01,51,18,3.6,8,Heavy Iron Studios,E
2042,Pong: The Next Level,PS,,Hasbro Interactive,Puzzle,1998,0.56,0.38,0,0.07,,1.01,,,,,,
2043,Naruto: Clash of Ninja Revolution,Wii,,Tomy Corporation,Fighting,2007,0.44,0.46,0,0.11,,1.01,74,23,8,27,8ing/Raizing,T
2044,Disney Fairies: Tinker Bell and the Lost Treasure,DS,,Disney Interactive Studios,Adventure,2009,0.56,0.34,0.02,0.09,,1.01,,,,,Hyde,E
2045,Ace Combat 6: Fires of Liberation,X360,,Atari,Simulation,2007,0.69,0.04,0.22,0.06,,1.01,80,54,7.9,101,Project Aces,T
2046,The Simpsons Game,Wii,,Electronic Arts,Action,2007,0.45,0.46,0,0.11,,1.01,64,19,6.1,38,"Electronic Arts, Rebellion",T
2047,NBA Jam Tournament Edition,SNES,,Acclaim Entertainment,Sports,1995,0.87,0.12,0,0.02,,1.01,,,,,,
2048,Championship Manager 3,PC,,Eidos Interactive,Sports,2003,0,0.93,0,0.08,,1.01,,,,,,
2049,Need for Speed: Most Wanted,PSV,,Electronic Arts,Racing,2012,0.33,0.45,0.01,0.22,,1.01,,,,,,
2050,Ninja Gaiden II,X360,,Tecmo Koei,Action,2008,0.65,0.22,0.05,0.1,,1.01,81,74,8,302,"Team Ninja, Tecmo",M
2051,Assassin's Creed: Rogue,X360,,Ubisoft,Action,2014,0.58,0.34,0,0.09,,1.01,72,32,7.3,318,Ubisoft,M
2052,Rayman Legends,PS4,,Ubisoft,Platform,2014,0.22,0.64,0,0.16,,1.01,90,16,8.5,525,Ubisoft Montpellier,E10+
2053,Oshare Majo Love and Berry: DS Collection,DS,,Sega,Misc,2006,0,0,1.01,0,,1.01,,,,,,
2054,Prince of Persia,X360,,Ubisoft,Action,2008,0.54,0.34,0.02,0.1,,1.01,81,73,7,189,Ubisoft Montreal,T
2055,Monster Rancher,PS,,Tecmo Koei,Simulation,1997,0.12,0.08,0.74,0.07,,1.01,86,5,8.3,10,Tecmo,
2056,ZombiU,WiiU,,Ubisoft,Action,2012,0.52,0.36,0.05,0.08,,1.01,77,70,7.7,758,Ubisoft Montpellier,M
2057,Pokken Tournament,WiiU,,Namco Bandai Games,Fighting,2016,0.5,0.26,0.17,0.08,,1.01,76,74,8,273,Bandai Namco Games,E10+
2058,Ford Racing 2,PS2,,Empire Interactive,Racing,2003,0.49,0.38,0,0.13,,1,51,5,8,8,Razorworks Studios,E
2059,Breath of Fire III,PS,,Capcom,Role-Playing,1997,0.29,0.19,0.46,0.07,,1,,,,,,
2060,NERF N-Strike Elite,Wii,,Electronic Arts,Shooter,2009,0.93,0,0,0.07,,1,67,12,4.5,6,EA Salt Lake,E10+
2061,God of War: Ghost of Sparta,PSP,,Sony Computer Entertainment,Action,2010,0.41,0.35,0.03,0.21,,1,86,73,8.4,255,Ready at Dawn,M
2062,Dead or Alive 2,PS2,,Tecmo Koei,Fighting,2000,0.3,0.24,0.38,0.08,,1,,,,,,
2063,1942,NES,,Capcom,Shooter,1985,0.65,0.14,0.21,0,,1,,,,,,
2064,Game & Watch Gallery,GB,,Nintendo,Misc,1997,0.63,0.25,0.09,0.03,,1,,,,,,
2065,Excitebike 64,N64,,Nintendo,Racing,2000,0.65,0.15,0.19,0.01,,1,,,,,,
2066,NES Open Tournament Golf,NES,,Nintendo,Sports,1991,0.41,0.1,0.47,0.02,,1,,,,,,
2067,Jissen Pachi-Slot Hisshouhou: Hokuto no Ken,PS2,,Sammy Corporation,Misc,2004,0,0,1,0,,1,,,,,,
2068,SoulCalibur II,XB,,Namco Bandai Games,Fighting,2003,0.78,0.18,0.03,0,,1,92,39,8.9,54,Namco,T
2069,PES 2009: Pro Evolution Soccer,X360,,Konami Digital Entertainment,Sports,2008,0.13,0.76,0.03,0.09,,1,,,,,,
2070,Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),X360,,Konami Digital Entertainment,Sports,2006,0.08,0.9,0.02,0,,1,,,,,,
2071,Road & Track Presents: The Need for Speed,PS,,Electronic Arts,Racing,1995,0.56,0.38,0,0.07,,1,,,,,,
2072,NFL GameDay 2001,PS,,Sony Computer Entertainment,Sports,2000,0.56,0.38,0,0.07,,1,73,10,,,989 Sports,E
2073,NBA Live 97,PS,,Electronic Arts,Sports,1996,0.55,0.38,0,0.07,,1,,,,,,
2074,Dynasty Warriors 3: Xtreme Legends,PS2,,Tecmo Koei,Action,2002,0.13,0.1,0.74,0.03,,1,72,16,9.3,54,Omega Force,T
2075,Rayman Origins,PS3,,Ubisoft,Platform,2011,0.33,0.49,0.01,0.17,,1,87,43,8.4,238,UBlart Montpellier,E10+
2076,Jampack Winter 2000,PS,,Sony Computer Entertainment,Misc,2000,0.55,0.38,0,0.07,,1,,,,,,
2077,NFL Fever 2002,XB,,Microsoft Game Studios,Sports,2000,0.74,0.21,0,0.04,,0.99,79,24,8.5,10,Microsoft Game Studios,E
2078,Just Dance 2014,X360,,Ubisoft,Misc,2013,0.72,0.17,0,0.1,,0.99,79,16,7.8,33,Ubisoft,E10+
2079,NCAA Football 12,X360,,Electronic Arts,Sports,2011,0.94,0,0,0.06,,0.99,82,25,6.6,49,EA Sports,E
2080,The Simpsons: Hit & Run,GC,,Vivendi Games,Racing,2003,0.77,0.2,0,0.03,,0.99,,,,,,
2081,UFC Undisputed 3,X360,,THQ,Action,2012,0.72,0.2,0,0.08,,0.99,85,60,7.6,88,Yuke's,T
2082,Kirby: Mass Attack,DS,,Nintendo,Platform,2011,0.48,0.06,0.41,0.05,,0.99,83,46,8.6,55,HAL Labs,E
2083,Haze,PS3,,Ubisoft,Shooter,2008,0.49,0.33,0.02,0.15,,0.99,55,65,6.5,294,Free Radical Design,M
2084,Oddworld: Abe's Exoddus,PS,,GT Interactive,Platform,1998,0.55,0.38,0,0.06,,0.99,88,13,9.1,69,Oddworld Inhabitants,T
2085,The Bouncer,PS2,,Sony Computer Entertainment,Action,2000,0.3,0.23,0.38,0.08,,0.99,66,20,8,35,DreamFactory,T
2086,DiRT 2,PS3,,Codemasters,Racing,2009,0.27,0.52,0,0.19,,0.99,87,63,8.2,94,Codemasters,T
2087,Guitar Hero: Aerosmith,PS3,,Activision,Misc,2008,0.73,0.15,0,0.11,,0.99,70,39,5,26,Neversoft Entertainment,T
2088,Shadow The Hedgehog,GC,,Sega,Platform,2005,0.76,0.2,0,0.03,,0.99,51,22,6.6,120,Sonic Team,E10+
2089,EyePet,PS3,,Sony Computer Entertainment,Simulation,2009,0.35,0.52,0.04,0.08,,0.99,70,35,8.2,20,SCEE London Studio,E
2090,Apollo Justice: Ace Attorney,DS,,Capcom,Adventure,2007,0.28,0.04,0.64,0.03,,0.99,78,48,8.1,84,Capcom,T
2091,Ace Combat X: Skies of Deception,PSP,,Namco Bandai Games,Simulation,2006,0.37,0.3,0.12,0.19,,0.99,75,26,8.3,30,Project Aces,T
2092,Dark Souls,X360,,Namco Bandai Games,Role-Playing,2011,0.64,0.27,0,0.09,,0.99,89,66,8.4,1106,From Software,M
2093,Cars: Race-O-Rama,Wii,,THQ,Racing,2009,0.61,0.29,0,0.09,,0.99,58,7,,,Incinerator Games,E
2094,Puzzler Collection,DS,,Ubisoft,Puzzle,2008,0.16,0.78,0,0.04,,0.99,71,5,,,Route 1 Games,E
2095,Midnight Club: LA Remix,PSP,,Take-Two Interactive,Racing,2008,0.52,0.27,0,0.19,,0.98,79,26,8.7,43,Rockstar London,T
2096,Pro Evolution Soccer 2008,PSP,,Konami Digital Entertainment,Sports,2008,0.02,0.53,0.19,0.25,,0.98,80,17,6.8,11,Konami,E
