ID,Name,Platform,Platform_Group,Publisher,Genre,Year_of_Release,NA_players,EU_players,JP_players,Other_players,Num_Nodes,Global_players,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
61,Call of Duty: Ghosts,X360,XBOX,Activision,Shooter,2013,6.73,2.56,0.04,0.91,1,10.25,73,29,2.6,2117,Infinity Ward,M
62,Just Dance 3,Wii,Nintendo,Ubisoft,Misc,2011,5.95,3.11,0,1.06,1,10.12,74,15,7.8,16,Ubisoft,E10+
63,New Super Mario Bros. 2,3DS,Nintendo,Nintendo,Platform,2012,3.66,3.14,2.47,0.63,0,9.9,78,70,7.2,424,Nintendo,E
65,Halo: Reach,X360,XBOX,Microsoft Game Studios,Shooter,2010,7.04,1.95,0.08,0.79,0,9.86,91,99,7.9,2045,Bungie,M
66,Final Fantasy VII,PS,PS,Sony Computer Entertainment,Role-Playing,1997,3.01,2.47,3.28,0.96,0,9.72,92,20,9.2,1282,SquareSoft,T
67,Halo 4,X360,XBOX,Microsoft Game Studios,Shooter,2012,6.65,2.28,0.04,0.74,0,9.71,87,87,7,3260,343 Industries,M
68,Gran Turismo 2,PS,PS,Sony Computer Entertainment,Racing,1999,3.88,3.42,1.69,0.5,0,9.49,93,23,9,135,Polyphony Digital,T
69,Just Dance 2,Wii,Nintendo,Ubisoft,Misc,2010,5.8,2.85,0.01,0.78,0,9.44,74,24,7.3,24,Ubisoft,E10+
70,Call of Duty: Ghosts,PS3,PS,Activision,Shooter,2013,4.1,3.63,0.38,1.25,0,9.36,71,10,2.6,1047,Infinity Ward,M
71,Call of Duty 4: Modern Warfare,X360,XBOX,Activision,Shooter,2007,5.93,2.36,0.13,0.9,0,9.31,94,70,8.4,1320,Infinity Ward,M
74,Animal Crossing: New Leaf,3DS,Nintendo,Nintendo,Simulation,2012,2.03,2.36,4.39,0.39,0,9.16,88,70,8.7,626,Nintendo,E
75,Mario Party DS,DS,Nintendo,Nintendo,Misc,2007,4.4,1.85,1.98,0.68,0,8.91,72,27,7.8,85,Hudson Soft,E
76,The Elder Scrolls V: Skyrim,X360,XBOX,Bethesda Softworks,Role-Playing,2011,5.05,2.79,0.1,0.85,0,8.79,96,89,8.4,3589,Bethesda Game Studios,M
78,FIFA 16,PS4,PS,Electronic Arts,Sports,2015,1.12,6.12,0.06,1.28,0,8.57,82,42,4.3,896,EA Sports,E
79,Halo 2,XB,,Microsoft Game Studios,Shooter,2004,6.82,1.53,0.05,0.08,,8.49,95,91,8.2,1218,Bungie Software,M
80,Wii Party,Wii,,Nintendo,Misc,2010,1.75,3.47,2.49,0.67,,8.38,68,42,7.4,54,Nd Cube,E
81,Mario Party 8,Wii,,Nintendo,Misc,2007,3.74,2.24,1.58,0.7,,8.27,62,41,6.3,190,Hudson,E
82,FIFA Soccer 13,PS3,,Electronic Arts,Action,2012,1.06,5.01,0.13,1.97,,8.16,88,37,6.6,348,Electronic Arts,E
85,Final Fantasy X,PS2,,Sony Computer Entertainment,Role-Playing,2001,2.91,2.07,2.73,0.33,,8.05,92,53,8.7,1056,SquareSoft,T
86,The Sims 3,PC,,Electronic Arts,Simulation,2009,0.99,6.42,0,0.6,,8.01,86,75,7.6,886,The Sims Studio,T
89,Final Fantasy VIII,PS,,SquareSoft,Role-Playing,1999,2.28,1.72,3.63,0.23,,7.86,90,24,8.6,644,SquareSoft,T
91,Pokémon Platinum Version,DS,,Nintendo,Role-Playing,2008,2.76,1.72,2.69,0.54,,7.72,83,46,8.5,203,Game Freak,E
92,Grand Theft Auto: Liberty City Stories,PSP,,Take-Two Interactive,Action,2005,2.9,2.81,0.24,1.73,,7.69,88,65,7.6,451,Rockstar Leeds,M
93,Call of Duty: Advanced Warfare,PS4,,Activision,Shooter,2014,2.81,3.48,0.14,1.23,,7.66,83,39,5.7,1443,Sledgehammer Games,M
95,FIFA 17,PS4,,Electronic Arts,Sports,2016,0.66,5.75,0.08,1.11,,7.59,85,41,5,398,"EA Sports, EA Vancouver",E
96,Crash Bandicoot 2: Cortex Strikes Back,PS,,Sony Computer Entertainment,Platform,1997,3.78,2.17,1.31,0.31,,7.58,,,,,,
97,Super Smash Bros. for Wii U and 3DS,3DS,,Nintendo,Fighting,2014,3.27,1.37,2.43,0.48,,7.55,,,,,,
98,Super Mario Galaxy 2,Wii,,Nintendo,Platform,2010,3.56,2.35,0.98,0.62,,7.51,97,87,9.1,1854,Nintendo EAD Tokyo,E
99,Super Mario Bros. 2,NES,,Nintendo,Platform,1988,5.39,1.18,0.7,0.19,,7.46,,,,,,
100,Call of Duty: Black Ops 3,XOne,,Activision,Shooter,2015,4.59,2.11,0.01,0.68,,7.39,,,,,,
101,Call of Duty: World at War,X360,,Activision,Shooter,2008,4.81,1.88,0,0.69,,7.38,84,84,7.6,580,Treyarch,M
102,Battlefield 3,X360,,Electronic Arts,Shooter,2011,4.46,2.11,0.06,0.69,,7.32,84,57,7.4,2142,EA DICE,M
103,Need for Speed Underground,PS2,,Electronic Arts,Racing,2003,3.27,2.83,0.08,1.02,,7.2,85,33,8.6,171,EA Black Box,E
104,Just Dance,Wii,,Ubisoft,Misc,2009,3.48,2.99,0,0.73,,7.2,49,21,8,110,Ubisoft Paris,E10+
105,Battlefield 3,PS3,,Electronic Arts,Shooter,2011,2.85,2.89,0.35,1.08,,7.17,85,38,7.5,1761,EA DICE,M
106,Fallout 4,PS4,,Bethesda Softworks,Role-Playing,2015,2.53,3.27,0.24,1.13,,7.16,87,58,6.5,4228,Bethesda Game Studios,M
107,Tekken 3,PS,,Sony Computer Entertainment,Fighting,1998,3.27,2.22,1.4,0.29,,7.16,96,15,9.1,367,Namco,T
108,The Legend of Zelda: Twilight Princess,Wii,,Nintendo,Action,2006,3.74,2.14,0.6,0.68,,7.15,95,73,9,1658,Nintendo,T
109,Pokemon Sun/Moon,3DS,,Nintendo,Role-Playing,2016,2.98,1.45,2.26,0.45,,7.14,,,,,,
110,Crash Bandicoot 3: Warped,PS,,Sony Computer Entertainment,Platform,1998,3.68,1.75,1.42,0.28,,7.13,91,12,8.9,432,Naughty Dog,E
